DEBUG [2020-11-02 23:33:00,742] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:33:00,743] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:34:54,872] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:34:54,873] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-02 23:34:54,874] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:3; LastCheckedRemotes:11/2/2020 11:32:40 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:34:54,876] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:34:54,880] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:34:54,881] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-02 23:34:54,881] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:3; LastCheckedRemotes:11/2/2020 11:32:40 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:34:54,883] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:34:54,883] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
